Well,528/20,590/20
A1,1232
B1,2
C1,2233
D1,1
E1,3414
F1,0
G1,4
H1,2
A2,1233
B2,1
C2,5309
D2,3
E2,8825
F2,1
G2,2
H2,1
A3,1234
B3,0
C3,2584
D3,0
E3,4121
F3,1
G3,1
H3,1
A4,1199
B4,57
C4,2444
D4,1
E4,3532
F4,1
G4,1
H4,1
A5,1312
B5,44
C5,2992
D5,1
E5,5010
F5,1
G5,0
H5,1
A6,1159
B6,0
C6,3327
D6,1
E6,5542
F6,1
G6,1
H6,2
A7,1194
B7,0
C7,2374
D7,1
E7,3814
F7,0
G7,0
H7,1
A8,1147
B8,0
C8,1941
D8,0
E8,2878
F8,0
G8,2
H8,0
A9,1369
B9,0
C9,2359
D9,0
E9,3442
F9,0
G9,1
H9,2
A10,1044
B10,16
C10,2937
D10,2
E10,4888
F10,2
G10,0
H10,1
A11,1338
B11,21
C11,2525
D11,1
E11,4451
F11,2
G11,0
H11,1
A12,1214
B12,2
C12,1251
D12,1
E12,1187
F12,2
G12,1
H12,1

